target,text
Ministry of Culture,"Smt. Meenakshi Lekhi, Minister of State for Culture and External Affairs participated in the 7th BRICS Culture Ministers’ Meeting on 24 May, 2022 hosted by the People’s Republic of China through video conference with participation from all BRICS Member Nations.

Discussion was held for advancement and expansion of cultural activities amongst BRICS countries under the theme “Establishing a Cultural Partnership Featuring Inclusiveness and Mutual Learning among BRICS”. The areas of focus of the discussion were promoting the development and cooperation on cultural digitalization, strengthening cooperation on cultural heritage protection and advancing the building of cultural exchange platforms of BRICS countries.  The Ministers adopted the BRICS Action Plan 2022-2026 to further strengthen the cultural cooperation and implement the BRICS Cultural Cooperation Agreement signed in 2015."
Ministry of Culture,"Ministry of Culture to commemorate the 250th Birth Anniversary of Raja Ram Mohan Roy from 22nd May 2022 to 22nd May 2023.

Shri G. Kishan Reddy to unveil  an iconic statue of Raja Ram Mohan Roy  at the inaugural ceremony in Kolkata tomorrow"
Ministry of Culture,"In an effort to showcase the historical importance of Vadnagar - where PM Narendra Modi spent his childhood -- as one of ""earliest fortified towns"" with continuous human settlements in ancient India, and discuss key strategies for its development as a key international heritage destination, the government of Gujarat and culture ministry have planned an elaborate two-day conference in Gandhinagar with international participants, starting on May 18.
"
Ministry of Culture,"Prime Minister Shri Narendra Modi leads the Vaishakha Buddha Purnima celebrations, visits Lumbini in Nepal-the birthplace of Buddha

Prime Minister participates in the ""Shilanyas” ceremony for the construction of the India International Centre for Buddhist Culture and Heritage in Lumbini, addresses a large gathering of monks

Ministry of Culture in collaboration with the International Buddhist Confederation (IBC) hosts a colourful programme for the Vaishakha Buddha Purnima Divas celebrations in New Delhi

Buddhism is India’s gift to the world and bonds India with other countries including Nepal: Shri Kiren Rijiju

India is home to the heritage of Lord Buddha and under the Prime guidance we are developing World Class Infrastructure to ensure Buddhist pilgrims have a seamless experience : Shri G. Kishan Reddy"
Ministry of Culture,"A Large number Indian classics, popular Indian works and literary masterpieces have been promoted into foreign languages by Sahitya Akademi: Sh . G. Kishan Reddy. Government of India has constantly taken various steps to promote/encourage the translation of Indian Literature into foreign languages through Sahitya Akademi (an autonomous body under M/o Culture). Over the years, the Akademi has promoted several Indian classics and popular Indian works into foreign languages such as The Ayodhya Canto of the Ramayana as told by Kamban from Tamil into English, Chemmeen from Malayalam into English and several Eastern European languages, Kavitavali by Tulsidas into English, Godaan by Premchand into English, Garambica Bapu by S.N. Pendse into English, Pather Panchali by Bibhuti Bhushan Bandyopadhyay into French, to name a few."
Ministry of Culture,"The annual outlay in FY 2022-23 of Ministry of Culture is 13% higher than the revised annual outlay in FY 2021-22.

Vikas (Development) and Virasat (Heritage) go hand-in-hand and this is evident from the fact that this year's budgetary allocations for Tourism and Culture Ministries have been significantly higher:  G Kishan Reddy. The outlay for Annual Budget 2022-23 of Ministry of Culture is Rs. 3009.05 Crore as against the revised outlay (Rs. 2665.00 Crore) approved for the revised Budget Plan 2021-2022.  This outlay includes provisions for 2 attached offices, 6 Subordinate offices, 34 central Autonomous Bodies and schemes of the Ministry during the Financial year 2022-23. The annual outlay in FY 2022-23 is 13% higher than the revised annual outlay in FY 2021-22. "
Ministry of Culture,"The Union Minister  of   Culture, Tourism and DONER, Shri G. Kishan has announced that a 10th century stone idol of Goat Head Yogini that had been illegally removed from a temple in Lokhari, Banda, Uttar Pradesh is being returned to India.  Announcing this in a tweet  today,  the Culture Minister said that the repatriation of our rightful artifacts continues.
"
Ministry of Culture,"‘Azadi Ka Amrit Mahotsav’ is an initiative of the Government of India to celebrate and commemorate 75 years of progressive India and the glorious history of its people, culture and achievements. As part of the celebrations, Ministry of Culture is organizing a rangoli making event ‘Umang Rangoli Utsav’ on 24th January 2022. The day is celebrated as ‘National Girl Child Day’ every year and   to commemorate the day this year, a nationwide event celebrating the Girl Child is being organized under Azadi ka Amrit Mahotsav celebrations."
Ministry of Culture,"The Central Advisory Board on Archaeology (Caba), meant to strengthen contacts between the Archaeological Survey of India (ASI) and those in the field of archaeological research, is set to meet on Tuesday, seven years after its last meeting. It is yet to appoint experts in the body that was reconstituted recently. The body will examine over 70 proposals from different state govrnments, which include matters pertaining to funds for excavation, vacancies, training, restoration of monuments, collab ..
"
Ministry of Youth affairs and Sports,"Sports Authority of India has established a Para Centre under its National Centre of Excellence Scheme at SAI Regional Centre, Gandhinagar: Shri Anurag Thakur"
Ministry of Youth affairs and Sports,Olympian Javelin thrower Shivpal Singh visited the National War Memorial in New Delhi which bears mute testimony to the supreme sacrifice made by the Indian soldiers post-independence.
Ministry of Youth affairs and Sports,"Prime Minister Shri Narendra Modi to virtually inaugurate the 25th National Youth Festival tomorrow

National Youth Festival not only strengthens National Integration but also spreads the spirit of communal harmony and brotherhood among the youth
"
Ministry of Youth affairs and Sports,"nion Minister for Youth Affairs and Sports, Shri Anurag Thakur launched the pilot of NYKS Youth volunteers' online training today. Secretary of Department of Youth Affairs Smt. Usha Sharma, Member Admin of Capacity Building Commission Shri Praveen Pardeshi, Joint Secretary of Department of Youth Affairs Shri Nitesh Kumar Mishra and other officials of the Ministry were also present on the occasion. This training is organised by the Ministry of Youth Affairs and Sports (MoYAS) in partnership with the Defeat-NCD Partnership at the United Nations Institute for Training and Research (UNITAR), the United Nations Children’s Fund (UNICEF), and Nehru Yuva Kendra Sangathan (NYKS) and the overall coordination of the Capacity Building Commission, Government of India."
Ministry of Youth affairs and Sports,"
The Government has reviewed the existing National Youth Policy, 2014 and prepared a new draft of National Youth Policy (NYP), which has been placed in public domain.  The policy would be finalized after deliberations on received suggestions/comments and multi stake holders consultations.

The draft NYP envisages a ten-year vision for youth development that India seeks to achieve by 2030. It is aligned with Sustainable Development Goals (SDGs) and serves to ‘unlock the potential of youth to advance India’. The NYP seeks to catalyze widespread action on youth development on five priority areas viz. education; employment & entrepreneurship; youth leadership & development; health, fitness & sports; and social justice. Each priority area is underpinned by the principle of social inclusion keeping in view of the marginalized sections."
Ministry of Youth affairs and Sports,"The first ever Chess Olympiad Torch Relay reached Maharashtra today and travelled through prominent locations of Nagpur and Pune. The Torch will reach Mumbai at 6:30 p.m. from where it will depart from Maharashtra to Goa tomorrow.

As India is celebrating its 75th year of independence, the Chess Olympiad torch is being taken to 75 cities of the country before reaching Chennai, the host city of the 44th FIDE Chess Olympiad from July 28 - August 10, 2022."
Ministry of Youth affairs and Sports,"Telengana based tennis player Shrivalli Rashmikaa has been making waves in the Junior Tennis circuit in India for several years. The 20-year-old already has two AITA Junior National Championships to her name, and holds the distinction of winning an invitational event staged by Roland-Garros in India in 2018, wherein winners of the competition got an opportunity to compete in Paris for a wildcard entry into the Junior Roland-Garros main draw. Rashmikaa has also been a semifinalist at an ITF Grade 3 event and is only focused on going from strength to strength in her fledgling tennis career."
Ministry of Youth affairs and Sports,"Khelo India University Games 2021 kick off with a glitzy opening ceremony

Vice-President calls for encouraging sporting activity at grassroot level

Preservation and promotion of our rural and indigenous games should be given top priority: Shri M. Vankaiah Naidu

“Organization of the Games amidst the challenges of the pandemic epitomizes the determination and passion of New India. This youthful passion is driving India in every field with new momentum”: Prime Minister

Holistic approach and 100 percent dedication are the key requirements of success in sports and life : Shri Narendra Modi"
Ministry of Youth affairs and Sports,"The Sports Authority of India has released a total of Rs 7.22 Crore (Seven Crores Sixty Two Lakhs Twenty Thousands) as an Out of Pocket Allowance (OPA) for a total of 2509 Khelo India Athletes (KIAs) across 21 disciplines, including para, for the months of January to March 2022.

A financial assistance of Rs 6.28 lakhs is allocated for each residential athlete training at the accredited academies as per the annual Khelo India scholarship scheme. That includes an out of pocket allowance of Rs 1.20 lakh."
Ministry of Youth affairs and Sports,"Paralympic Gold and Silver medallist Mariyappan Thangavelu on Thursday, February 24th visited Salem’s Holy Angles Girls' Matric. Hr. Sec. School in Tamil Nadu and spoke to the students about the importance of sports and a balanced diet in one’s life."
Ministry of Youth affairs and Sports,"Shri Dharmendra Pradhan & Shri Anurag Thakur address Yuva Samvad “India@2047” programme as part of Azadi ka Amrit Mahotsav in New Delhi

The responsibility of taking Indian values, ethos, knowledge, values and models to the world rests upon our youth - Shri Dharmendra Pradhan

750 Yuva Samvad programmes will be organised across the country right down to the grassroot level to give youth a platform to express their views: Shri Anurag Thakur

Youth have to make largest contribution to nation building and make the country Vishwaguru: Sports Minister

In Amrit Kaal, the youth must set Amrit Goals and discharge their duties with responsibility to achieve them: Shri Thakur"
Ministry of Youth affairs and Sports,"India clinches 6 medals including 4 Gold, 1 Silver and 1 Bronze on the final day of Commonwealth Games 2022, India’s total medal tally reaches 61 with 22 gold medals

PV Sindhu, Lakshya Sen, Satwik Sairaj Rankireddy/Chirag Shettya and Achanta Sharath Kamal win gold medals on final day"
Ministry of Youth affairs and Sports,"
The Government has reviewed the existing National Youth Policy, 2014 and prepared a new draft of National Youth Policy (NYP), which has been placed in public domain.  The policy would be finalized after deliberations on received suggestions/comments and multi stake holders consultations.

The draft NYP envisages a ten-year vision for youth development that India seeks to achieve by 2030. It is aligned with Sustainable Development Goals (SDGs) and serves to ‘unlock the potential of youth to advance India’. The NYP seeks to catalyze widespread action on youth development on five priority areas viz. education; employment & entrepreneurship; youth leadership & development; health, fitness & sports; and social justice. Each priority area is underpinned by the principle of social inclusion keeping in view of the marginalized sections."
Ministry of Youth affairs and Sports,"Among other key dignitaries present were Shri Nisith Pramanik, Union Minister of State for Home Affairs and MYAS, Government of India, Shri Sandeep Pradhan, Director General, Sports Authority of India as well as Mr. Anil Khanna, Acting President, IOA.

Tokyo 2020 Olympic medallists Bajrang Punia, P.R. Sreejesh, Manpreet Singh, Harmanpreet Singh and Lovlina Borgohain were some of the star members present at the ceremony from among the 215 strong squad. Some other prominent athletes present included the likes of Olympic medalist Sakshi Malik, sprint stars Dutee Chand and Hima Das, Asian Boxing Championships Gold Medalist Shiva Thapa and boxer Amit Panghal, among others."
Prime Ministers office,"Prime Minister Narendra Modi on Monday will address the NIIO (Naval Innovation and Indigenisation Organisation) Seminar ‘Swavlamban’ and unveil ‘SPRINT Challenges’, an initiative to give fillip to usage of indigenous technology in the Indian Navy.

“A key pillar of Aatmanirbhar Bharat is attaining self-reliance in the Defence Sector. As a part of the ‘Azadi ka Amrit Mahotsav’, NIIO, in conjunction with the Defence Innovation Organisation (DIO), aims at inducting at least 75 new indigenous technologies / products in the Indian Navy. This collaborative project is named SPRINT (Supporting Pole-Vaulting in R&D through iDEX, NIIO and TDAC),"" The Prime Minister’s Office (PMO) said."
Prime Ministers office,"the Prime Minister’s Office will get a helping hand from IIT-Kanpur in dealing with lakhs of public grievances it receives from across the country every year. The premier institute will help the top office with an “artificial intelligence-powered algorithm"" for a smart analysis of these complaints, News18 has learnt.

The PMO receives a large number of public grievances related to topics that fall under the purview of different ministries, departments or states. Close to 80 per cent of all grievances (almost 30 lakh a year) received by the Centre are through the PMO channel, and these are then forwarded to concerned ministries or states."
Prime Ministers office,"the Prime Minister’s Office will get a helping hand from IIT-Kanpur in dealing with lakhs of public grievances it receives from across the country every year. The premier institute will help the top office with an “artificial intelligence-powered algorithm"" for a smart analysis of these complaints, News18 has learnt.

The PMO receives a large number of public grievances related to topics that fall under the purview of different ministries, departments or states. Close to 80 per cent of all grievances (almost 30 lakh a year) received by the Centre are through the PMO channel, and these are then forwarded to concerned ministries or states."
Prime Ministers office,"Prime Minister Narendra Modi on Monday urged citizens to pledge not to do anything that lowers the dignity of women, saying a mentality to insult them in speeches and behaviour has crept in during his speech on the occasion of 76th Independence Day.

Modi said that respect for women is an important pillar for India's growth and stressed the need to extend support to 'Nari Shakti' while addressing the nation from the ramparts of the Red Fort.
"
Prime Ministers office,"rime Minister Narendra Modi on Monday called for ""cooperative competitive federalism"" where states seek to outshine each other on the development front, while addressing the Nation on India's Independence Day.

""Programmes can be different, working style can be different, but dreams for the country cannot be different,"" he said, referring to federalism in his Independence Day address.

Modi said, all dreams will come true, if states move shoulder to shoulder."
